year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,17,00:00,15.4,37.04167,141.84833,36,1.4,福島県沖
2025,12,17,00:04,11.4,37.26667,139.75333,8,0.0,福島県会津
2025,12,17,00:04,29.9,28.59667,128.43,80,0.9,奄美大島北西沖
2025,12,17,00:11,39.5,33.34833,135.56833,29,0.5,和歌山県南方沖
2025,12,17,00:13,19.4,40.29833,142.555,38,1.5,岩手県沖
2025,12,17,00:16,45.0,34.025,135.11333,9,0.4,紀伊水道
2025,12,17,00:18,35.6,32.99,131.11667,8,0.5,熊本県阿蘇地方
2025,12,17,00:18,41.3,32.99167,131.115,8,0.7,熊本県阿蘇地方
2025,12,17,00:20,28.4,41.225,142.63833,33,1.1,青森県東方沖
2025,12,17,00:22,56.1,37.31167,141.02333,27,2.7,福島県浜通り
2025,12,17,00:24,14.5,32.97833,131.115,8,0.0,熊本県阿蘇地方
2025,12,17,00:25,17.0,37.57333,137.29833,11,0.8,能登半島沖
2025,12,17,00:25,18.6,36.18,137.955,7,-0.5,長野県中部
2025,12,17,00:26,17.9,32.98833,131.11833,10,0.3,熊本県阿蘇地方
2025,12,17,00:28,11.7,37.05333,136.62333,8,0.9,石川県西方沖
2025,12,17,00:30,21.7,39.73833,142.26833,17,1.3,岩手県沖
2025,12,17,00:30,24.1,27.17,128.865,22,1.2,沖縄本島近海
2025,12,17,00:31,13.8,40.91333,143.015,46,1.3,青森県東方沖
2025,12,17,00:34,20.8,32.98667,131.11667,9,-0.1,熊本県阿蘇地方
2025,12,17,00:35,44.8,40.14333,142.37,17,1.1,岩手県沖
2025,12,17,00:36,28.6,32.98667,131.11667,9,0.2,熊本県阿蘇地方
2025,12,17,00:38,5.9,36.16333,141.81333,12,1.7,茨城県沖
2025,12,17,00:41,56.3,32.98833,131.115,10,0.2,熊本県阿蘇地方
2025,12,17,00:44,20.6,42.88333,142.945,91,0.8,十勝地方中部
2025,12,17,00:48,37.7,32.98833,131.12167,10,0.1,熊本県阿蘇地方
2025,12,17,00:50,4.5,37.05,140.52833,10,-0.2,福島県中通り
2025,12,17,00:51,41.6,40.63333,142.475,40,1.9,青森県東方沖
2025,12,17,00:53,14.6,24.615,124.86167,21,1.6,宮古島近海
2025,12,17,00:53,46.7,39.26,143.365,11,1.1,三陸沖
2025,12,17,00:53,53.0,36.00667,141.18333,16,1.3,茨城県沖
2025,12,17,00:54,0.7,41.96833,144.785,24,2.4,釧路沖
2025,12,17,00:55,53.5,40.98667,142.96167,17,1.7,青森県東方沖
2025,12,17,00:57,37.7,36.84167,140.585,10,1.3,茨城県北部
2025,12,17,01:00,34.5,33.01667,130.35,11,0.3,有明海
2025,12,17,01:03,52.3,33.5,135.84667,28,1.2,和歌山県南方沖
2025,12,17,01:08,27.1,32.15333,130.43333,8,-0.2,熊本県天草・芦北地方
2025,12,17,01:14,14.8,32.07667,130.15333,10,0.1,天草灘
2025,12,17,01:17,40.1,38.75833,141.745,53,1.0,宮城県沖
2025,12,17,01:21,18.0,32.99,131.11667,9,0.8,熊本県阿蘇地方
2025,12,17,01:21,56.3,32.27667,130.74167,9,-0.6,熊本県球磨地方
2025,12,17,01:23,50.9,34.73,139.98333,52,1.2,千葉県南東沖
2025,12,17,01:26,54.6,32.42,130.53,9,1.8,熊本県天草・芦北地方
2025,12,17,01:27,44.9,38.395,142.22667,39,1.2,宮城県沖
2025,12,17,01:27,48.2,33.02333,131.12,6,0.7,熊本県阿蘇地方
2025,12,17,01:29,3.7,26.645,141.515,0,2.9,父島近海
2025,12,17,01:31,15.3,35.665,140.74,17,0.6,千葉県東方沖
2025,12,17,01:33,19.2,31.935,131.4,17,0.0,宮崎県南部平野部
2025,12,17,01:33,21.7,32.99,131.11833,10,1.5,熊本県阿蘇地方
2025,12,17,01:36,58.9,32.57,132.16833,30,0.8,日向灘
2025,12,17,01:38,51.5,38.22167,140.61167,131,1.5,宮城県南部
2025,12,17,01:38,54.6,40.90333,142.955,15,1.7,青森県東方沖
2025,12,17,01:40,49.7,35.87667,137.74333,11,0.2,長野県南部
2025,12,17,01:41,43.9,34.23833,135.455,6,-0.2,和歌山県北部
2025,12,17,01:43,25.6,36.91833,136.39333,14,1.1,石川県西方沖
2025,12,17,01:45,41.1,40.89667,142.945,15,1.5,青森県東方沖
2025,12,17,01:46,41.2,32.98833,131.115,9,0.3,熊本県阿蘇地方
2025,12,17,01:47,24.5,40.88167,142.945,13,1.8,青森県東方沖
2025,12,17,01:48,37.4,41.04,142.21667,51,1.4,青森県東方沖
2025,12,17,01:50,4.8,32.99,131.11667,10,0.1,熊本県阿蘇地方
2025,12,17,01:53,49.2,34.18667,131.72833,11,0.5,山口県中部
2025,12,17,01:56,17.9,35.45,136.8,18,1.9,岐阜県美濃中西部
2025,12,17,01:57,55.9,37.04333,136.62667,7,1.0,石川県西方沖
2025,12,17,01:58,36.7,40.805,143.03167,14,1.3,青森県東方沖
2025,12,17,02:02,56.2,39.93167,140.37333,25,-,秋田県内陸北部
2025,12,17,02:02,57.3,39.92167,140.355,24,0.8,秋田県内陸北部
2025,12,17,02:03,9.7,39.93833,140.36833,22,-,秋田県内陸北部
2025,12,17,02:04,30.6,32.975,131.10833,11,0.1,熊本県阿蘇地方
2025,12,17,02:05,57.7,39.41833,143.275,16,1.6,三陸沖
2025,12,17,02:08,31.7,37.31667,141.605,8,1.5,福島県沖
2025,12,17,02:16,36.8,32.76,130.775,16,-0.2,熊本県熊本地方
2025,12,17,02:19,39.5,35.43833,133.32333,15,1.4,鳥取県西部
2025,12,17,02:19,46.4,32.085,130.41833,3,-0.2,鹿児島県薩摩地方
2025,12,17,02:21,45.7,25.31833,125.52,28,2.6,宮古島近海
2025,12,17,02:23,11.2,32.99,131.11667,10,0.1,熊本県阿蘇地方
2025,12,17,02:24,7.1,38.37833,142.27,16,1.0,宮城県沖
2025,12,17,02:24,43.9,41.03333,143.15,22,1.4,青森県東方沖
2025,12,17,02:26,48.3,40.855,142.70667,42,1.7,青森県東方沖
2025,12,17,02:27,41.9,43.53333,147.70333,0,4.3,北海道東方沖
2025,12,17,02:28,48.5,27.59833,129.075,26,1.1,奄美大島近海
